v8-version,6,1,534,47,0
code-creation,Stub,3,7756,0x6c2ebd13da0,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,7765,0x6c2ebd13ee0,423,"ArraySingleArgumentConstructorStub"
code-creation,Builtin,5,7774,0x6c2ebd140a0,233,"Call_ReceiverIsAny"
code-creation,Builtin,5,7783,0x6c2ebd141a0,249,"CallBoundFunction"
code-creation,Builtin,5,7791,0x6c2ebd142a0,359,"CallFunction_ReceiverIsNotNullOrUndefined"
code-creation,Stub,3,7800,0x6c2ebd14420,2296,"RecordWriteStub"
code-creation,Stub,3,7809,0x6c2ebd14d20,2292,"RecordWriteStub"
code-creation,Stub,3,7818,0x6c2ebd15620,2254,"RecordWriteStub"
code-creation,Stub,3,7826,0x6c2ebd15f00,2292,"RecordWriteStub"
code-creation,Handler,4,7835,0x6c2ebd16800,256,"An IC handler from the snapshot"
code-creation,Stub,3,7844,0x6c2ebd16900,2291,"RecordWriteStub"
code-creation,Stub,3,7853,0x6c2ebd17200,980,"RecordWriteStub"
code-creation,Stub,3,7861,0x6c2ebd175e0,2238,"RecordWriteStub"
code-creation,Stub,3,7870,0x6c2ebd17ea0,2266,"RecordWriteStub"
code-creation,Stub,3,7879,0x6c2ebd18780,189,"DoubleToIStub"
code-creation,Stub,3,7887,0x6c2ebd18840,2270,"RecordWriteStub"
code-creation,Handler,4,7896,0x6c2ebd19120,308,"An IC handler from the snapshot"
code-creation,Stub,3,7905,0x6c2ebd19260,2280,"RecordWriteStub"
code-creation,Stub,3,7913,0x6c2ebd19b60,2265,"RecordWriteStub"
code-creation,Stub,3,7922,0x6c2ebd1a440,2229,"RecordWriteStub"
code-creation,Stub,3,7955,0x6c2ebd1ad00,1412,"RecordWriteStub"
tick,0x7fff7137e3b4,7986,0,0x0,4
code-creation,Stub,3,8025,0x6c2ebd1b2a0,2314,"RecordWriteStub"
code-creation,Stub,3,8045,0x6c2ebd1bbc0,978,"RecordWriteStub"
code-creation,Stub,3,8058,0x6c2ebd1bfa0,2272,"RecordWriteStub"
code-creation,Stub,3,8073,0x6c2ebd1c880,2266,"RecordWriteStub"
code-creation,Stub,3,8086,0x6c2ebd1d160,2296,"RecordWriteStub"
code-creation,Stub,3,8100,0x6c2ebd1da60,978,"RecordWriteStub"
code-creation,Stub,3,8115,0x6c2ebd1de40,2250,"RecordWriteStub"
code-creation,Stub,3,8130,0x6c2ebd1e720,463,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,8144,0x6c2ebd1e900,183,"DoubleToIStub"
code-creation,Stub,3,8159,0x6c2ebd1e9c0,2300,"RecordWriteStub"
code-creation,Stub,3,8175,0x6c2ebd1f2c0,2283,"RecordWriteStub"
code-creation,Stub,3,8189,0x6c2ebd1fbc0,2254,"RecordWriteStub"
code-creation,Stub,3,8204,0x6c2ebd204a0,2242,"RecordWriteStub"
code-creation,Stub,3,8217,0x6c2ebd20d80,980,"RecordWriteStub"
code-creation,Handler,4,8232,0x6c2ebd21160,780,"An IC handler from the snapshot"
code-creation,Stub,3,8246,0x6c2ebd21480,2265,"RecordWriteStub"
code-creation,Stub,3,8261,0x6c2ebd21d60,483,"CreateAllocationSiteStub"
code-creation,Stub,3,8275,0x6c2ebd21f60,2292,"RecordWriteStub"
code-creation,Stub,3,8286,0x6c2ebd22860,2269,"RecordWriteStub"
code-creation,Stub,3,8295,0x6c2ebd23140,974,"RecordWriteStub"
