v8-version,6,1,534,47,0
code-creation,Stub,3,15570,0x9d76a914420,2296,"RecordWriteStub"
code-creation,Stub,3,15584,0x9d76a914d20,2292,"RecordWriteStub"
code-creation,Stub,3,15599,0x9d76a915620,2254,"RecordWriteStub"
code-creation,Stub,3,15614,0x9d76a915f00,2292,"RecordWriteStub"
code-creation,Handler,4,15628,0x9d76a916800,256,"An IC handler from the snapshot"
code-creation,Stub,3,15643,0x9d76a916900,2291,"RecordWriteStub"
code-creation,Stub,3,15658,0x9d76a917200,980,"RecordWriteStub"
code-creation,Stub,3,15673,0x9d76a9175e0,2238,"RecordWriteStub"
code-creation,Stub,3,15688,0x9d76a917ea0,2266,"RecordWriteStub"
code-creation,Stub,3,15703,0x9d76a918780,189,"DoubleToIStub"
code-creation,Stub,3,15718,0x9d76a918840,2270,"RecordWriteStub"
code-creation,Handler,4,15733,0x9d76a919120,308,"An IC handler from the snapshot"
code-creation,Stub,3,15747,0x9d76a919260,2280,"RecordWriteStub"
code-creation,Stub,3,15762,0x9d76a919b60,2265,"RecordWriteStub"
code-creation,Stub,3,15776,0x9d76a91a440,2229,"RecordWriteStub"
code-creation,Stub,3,15791,0x9d76a91ad00,1412,"RecordWriteStub"
code-creation,Stub,3,15806,0x9d76a91b2a0,2314,"RecordWriteStub"
code-creation,Stub,3,15821,0x9d76a91bbc0,978,"RecordWriteStub"
code-creation,Stub,3,15835,0x9d76a91bfa0,2272,"RecordWriteStub"
code-creation,Stub,3,15844,0x9d76a91c880,2266,"RecordWriteStub"
code-creation,Stub,3,15853,0x9d76a91d160,2296,"RecordWriteStub"
code-creation,Stub,3,15861,0x9d76a91da60,978,"RecordWriteStub"
code-creation,Stub,3,15870,0x9d76a91de40,2250,"RecordWriteStub"
code-creation,Stub,3,15878,0x9d76a91e720,463,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,15887,0x9d76a91e900,183,"DoubleToIStub"
code-creation,Stub,3,15896,0x9d76a91e9c0,2300,"RecordWriteStub"
code-creation,Stub,3,15904,0x9d76a91f2c0,2283,"RecordWriteStub"
code-creation,Stub,3,15913,0x9d76a91fbc0,2254,"RecordWriteStub"
code-creation,Stub,3,15922,0x9d76a9204a0,2242,"RecordWriteStub"
code-creation,Stub,3,15930,0x9d76a920d80,980,"RecordWriteStub"
code-creation,Handler,4,15939,0x9d76a921160,780,"An IC handler from the snapshot"
code-creation,Stub,3,15948,0x9d76a921480,2265,"RecordWriteStub"
code-creation,Stub,3,15957,0x9d76a921d60,483,"CreateAllocationSiteStub"
code-creation,Stub,3,15965,0x9d76a921f60,2292,"RecordWriteStub"
code-creation,Stub,3,15974,0x9d76a922860,2269,"RecordWriteStub"
code-creation,Stub,3,15983,0x9d76a923140,974,"RecordWriteStub"
code-creation,Stub,3,15991,0x9d76a923520,2280,"RecordWriteStub"
code-creation,Stub,3,16000,0x9d76a923e20,2275,"RecordWriteStub"
code-creation,Stub,3,16008,0x9d76a924720,2296,"RecordWriteStub"
code-creation,Stub,3,16017,0x9d76a925020,2254,"RecordWriteStub"
code-creation,Stub,3,16026,0x9d76a925900,2254,"RecordWriteStub"
code-creation,Stub,3,16034,0x9d76a9261e0,591,"StringAddStub"
code-creation,Stub,3,16043,0x9d76a926440,1872,"StringAddStub"
code-creation,Builtin,5,16052,0x9d76a926ba0,298,"NonPrimitiveToPrimitive_Default"
