v8-version,6,0,287,53,0
code-creation,Stub,3,7596,0x21588e211c40,2285,"RecordWriteStub"
code-creation,Stub,17,7612,0x21588e212540,459,"BinaryOpICStub"
code-creation,Stub,3,7628,0x21588e212720,155,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,7643,0x21588e2127c0,2332,"RecordWriteStub"
code-creation,Stub,17,7658,0x21588e2130e0,459,"BinaryOpICStub"
code-creation,Stub,3,7673,0x21588e2132c0,2302,"RecordWriteStub"
code-creation,Stub,17,7687,0x21588e213bc0,427,"BinaryOpICStub"
code-creation,Stub,3,7701,0x21588e213d80,215,"DoubleToIStub"
code-creation,Stub,3,7714,0x21588e213e60,215,"DoubleToIStub"
code-creation,Stub,3,7727,0x21588e213f40,2328,"RecordWriteStub"
code-creation,Stub,3,7742,0x21588e214860,343,"ArrayNoArgumentConstructorStub"
code-creation,Handler,4,7756,0x21588e2149c0,288,"An IC handler from the snapshot"
code-creation,Stub,17,7769,0x21588e214ae0,228,"BinaryOpICStub"
code-creation,Stub,17,7782,0x21588e214be0,336,"BinaryOpICStub"
code-creation,Stub,17,7798,0x21588e214d40,304,"BinaryOpICStub"
code-creation,Stub,3,7814,0x21588e214e80,2311,"RecordWriteStub"
code-creation,Stub,17,7829,0x21588e2157a0,228,"BinaryOpICStub"
code-creation,Stub,17,7843,0x21588e2158a0,312,"BinaryOpICStub"
code-creation,Stub,17,7857,0x21588e2159e0,228,"BinaryOpICStub"
code-creation,Stub,3,7880,0x21588e215ae0,375,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,7894,0x21588e215c60,327,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,7909,0x21588e215dc0,2297,"RecordWriteStub"
code-creation,Stub,3,7924,0x21588e2166c0,1405,"RecordWriteStub"
code-creation,Stub,17,7939,0x21588e216c40,248,"BinaryOpICStub"
code-creation,Stub,17,7955,0x21588e216d40,423,"BinaryOpICStub"
code-creation,Stub,3,7972,0x21588e216f00,2324,"RecordWriteStub"
code-creation,Stub,3,7988,0x21588e217820,1036,"RecordWriteStub"
code-creation,Stub,17,8003,0x21588e217c40,228,"BinaryOpICStub"
code-creation,Stub,3,8018,0x21588e217d40,2312,"RecordWriteStub"
code-creation,Stub,17,8034,0x21588e218660,427,"BinaryOpICStub"
code-creation,Stub,3,8050,0x21588e218820,397,"CEntryStub"
code-creation,Stub,17,8066,0x21588e2189c0,308,"BinaryOpICStub"
code-creation,Stub,3,8089,0x21588e218b00,455,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,8104,0x21588e218ce0,2316,"RecordWriteStub"
code-creation,Stub,3,8119,0x21588e219600,2302,"RecordWriteStub"
code-creation,Handler,4,8132,0x21588e219f00,328,"An IC handler from the snapshot"
code-creation,Handler,4,8146,0x21588e21a060,812,"An IC handler from the snapshot"
code-creation,Stub,3,8162,0x21588e21a3a0,2286,"RecordWriteStub"
code-creation,Stub,3,8177,0x21588e21aca0,463,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,8192,0x21588e21ae80,2316,"RecordWriteStub"
code-creation,Stub,17,8207,0x21588e21b7a0,173,"BinaryOpICStub"
code-creation,Stub,3,8222,0x21588e21b860,2274,"RecordWriteStub"
code-creation,Stub,3,8236,0x21588e21c160,2340,"RecordWriteStub"
code-creation,Stub,3,8450,0x21588e21caa0,2282,"RecordWriteStub"
code-creation,Stub,17,8461,0x21588e21d3a0,455,"BinaryOpICStub"
code-creation,Stub,17,8470,0x21588e21d580,312,"BinaryOpICStub"
